area_sqft,bedrooms,bathrooms,age_years,location_score,distance_to_city_km,price
675,5,2,39,8,15.1,506300
1720,4,3,10,7,19.1,736500
1037,2,1,8,10,10.5,624500
3050,3,2,29,9,29.0,639900
2103,5,3,4,9,14.8,944500
711,5,2,0,7,14.6,671300
1419,2,3,49,3,27.1,203900
2139,2,3,23,3,1.0,639700
1872,3,2,20,3,26.1,382400
3757,1,2,29,6,4.3,776000
3970,5,2,31,2,11.7,733000
3083,3,3,48,5,14.9,627500
4156,5,2,49,2,14.6,667500
845,1,1,48,5,1.7,281300
866,3,3,42,10,9.9,601000
3102,4,3,22,6,11.0,859600
3278,3,3,30,4,28.7,576700
1404,5,1,0,6,27.6,529900
3739,2,3,34,9,17.7,847200
